USER_ID,FLOW,FLOW_LAST_ONE,FLOW_LAST_TWO,MONTH_FEE,MONTHS_3AVG,BINDEXP_DATE,PHONE_CHANGE,AGE,OPEN_DATE,REMOVE_TAG
83522,155477113,28271889,142960142,80.9,93.77,19000101,0,35,20120117,A
83546,319746076,218500270,222357459,99.27,123.27,20171101,0,28,20071001,A
83622,123470391,169988672,194224301,130.23,103.35,19000101,0,27,20140221,A
83636,282151663,159680673,101173363,160.5,182.17,20180501,0,34,20031031,A
83642,380292,1205683,8547991,172.7,174.76,19000101,0,30,20060217,A
83680,161692519,164091790,36895,123.14,123.62,20150601,0,25,20130620,A
83700,85256024,27041768,81411526,149.65,126.55,20150701,0,22,20130504,A
83736,610846525,1397088369,1204785848,123.16,135.33,19000101,0,31,20110729,A
83742,787550856,265092746,261182380,270.51,201.83,20150801,1,29,20101025,A
83760,512636843,563937025,603231927,150.61,150.92,19000101,0,22,20110926,A
83813,5924827,31176920,212434656,92.66,79.84,19000101,0,34,20111204,A
83822,551590685,266331927,678380528,143.24,140.92,20160701,0,46,20040418,A
83826,195653220,574496380,813411031,106.15,97.38,19000101,0,22,20120914,A
86505,141694403,198701045,404010784,122.3,127.37,20170501,0,29,20120930,A
86553,894199844,860981077,641971177,269.59,311.81,19000101,0,40,20010810,A
86565,166336570,25054358,2677375,359,363.86,20180101,0,54,20060827,A
86568,122245432,22854057,415258315,239.8,323.72,20160901,0,28,20101017,A
86593,102378169,120284490,175033961,77.08,76.92,20170701,0,38,20101108,A
86629,1088628735,1170890377,1193939384,273.07,235.33,19000101,0,25,20081106,A
86649,5007019,283749313,380289683,199.9,157.26,20150601,0,28,20120511,A
86668,30008523,81559454,47304216,118.6,98.33,20180701,0,25,20121019,A
86675,202888174,174219942,356045577,230.62,217.23,19000101,0,24,20100719,A
86691,119563303,68841180,60478141,175.4,147.06,20170901,1,56,20140923,A
86705,10476031,146605323,159226805,211.54,170.86,20161101,0,39,20070929,A
86744,401996786,373271661,753462922,181.57,194.1,20150601,1,19,20130220,A
86765,4786406,50127463,2603,83.87,96.77,20160401,0,43,20140419,A
86768,2038511,12616618,39562773,91.28,103.45,20160101,0,39,20010819,A
86785,274150319,287891882,297784771,71.6,72.57,19000101,0,32,20100425,A
86791,4764778,53107905,11817428,188,200.01,20170901,0,61,19990101,A
86824,594239369,479505691,410831193,141.76,195.89,19000101,0,24,20090627,A
86849,43224392,8539558,23508540,96.26,119.71,19000101,0,29,20120422,A
86853,190146609,327926391,86626842,329.8,333.53,20160201,0,38,20040119,A
86875,71445270,111120049,101386960,298.28,168.33,19000101,0,22,20090702,A
86929,358597256,330438999,356775260,63,74.79,20150701,0,22,20140706,A
86944,293378957,384831691,811248025,148,137.76,20160101,0,36,20140122,A
86968,136824285,105832975,102979292,112.3,114.8,19000101,0,32,20090318,A
86975,539188895,577717812,282294375,258.41,279.92,19000101,0,27,20111219,A
86978,245753771,368399057,158729961,135.81,130.32,19000101,0,24,20120108,A
87090,102280409,115882751,94931416,98.56,102.55,19000101,0,22,20141001,A
87118,96125544,66652650,52612788,136.5,166.91,20150601,0,44,20020904,A
87150,377882679,313680451,392831025,158.45,146.71,20160101,0,43,20140124,A
87350,209530665,159219208,214017058,138.68,124.92,19000101,0,42,20061107,A
87415,497940385,958978161,1536641564,191.09,218.41,19000101,0,19,20121001,A
87418,3015707,26924,26590,128.08,115.09,19000101,0,49,20090326,A
87514,152576111,266815581,505234375,179.1,173.29,19000101,0,47,20100515,A
87519,126556764,105733168,172312936,212.38,182.43,19000101,0,23,20120129,A
87552,437677398,745224247,517946648,154.35,146.13,20181201,0,41,20100703,A
87592,312534420,139159810,165744094,146.68,160.54,20160501,0,39,20130918,A
87596,101496162,115555866,217238771,190.9,206.11,20150801,0,31,20120816,A
87619,1531078356,1402294360,1310167622,96.4,123.25,19000101,0,26,20111115,A
87656,103170383,32370325,137042966,76.94,101.66,19000101,0,32,20070609,A
87756,235405676,139892759,160587975,193.43,228.11,20180401,0,39,20060315,A
87792,0,0,0,341,365.66,19000101,0,44,20010418,A
87814,19187789,8004936,13530427,180.6,181.93,19000101,0,53,19970609,A
87852,178084496,117256577,204509655,154.29,144.76,19000101,0,27,20091125,A
87856,2144251733,1541088464,1162019868,70.37,125.99,19000101,0,47,20120221,A
87892,540171807,267129333,82367567,199.3,162.06,20150601,0,23,20130208,A
87896,296044620,204924117,188499591,115.3,121.61,19000101,0,24,20110918,A
87914,739038,3561790,5441086,157.47,146.54,19000101,0,62,20010627,A
87952,1347431397,1299425587,3104947715,101.59,84.63,19000101,0,24,20141008,A
87956,288383305,442507054,645687675,67.1,71.61,19000101,0,24,20140701,A
87996,309481350,1064336114,811715698,91.4,120.66,20160401,0,30,20141127,A
88000,20870553,82303172,416469609,82.6,80.12,19000101,0,44,20050924,A
88026,72139364,50272325,31366800,126.63,150.62,19000101,0,39,20100601,A
88060,384652537,337641461,311263217,252.1,252.13,20170301,0,40,19990514,A
88100,597870723,543730110,538742397,135.24,127.18,19000101,0,56,20130923,A
88111,691062599,262618921,23735916,153.62,148.13,19000101,0,49,20120202,A
88113,131558753,413345087,505249444,101.7,111.51,20161001,0,46,20061211,A
88122,705,128,64,93.3,175.95,19000101,0,46,20120914,A
88132,775943,1517024,1233090,137.94,124.32,20160601,0,37,20070321,A
88146,734338194,439022703,452766269,353.7,344.4,20991231,0,53,19980519,A
88160,631689641,591855574,935497517,136.98,101.43,20150701,0,45,20120201,A
88180,161161370,153689927,185213573,152,153.1,20170301,0,38,20121003,A
88222,1402127057,986659636,497998168,152.14,125.51,19000101,0,24,20140718,A
85130,167351777,110478502,28574485,61.38,56.41,20160501,0,23,20110707,A
85172,2317717434,1078067752,936274672,71.55,170.77,19000101,0,23,20120914,A
85182,681686559,504553848,340778466,147.9,184.16,20150801,0,45,20130822,A
85217,24351,201159,20850939,184.34,174.48,20160501,0,39,20080804,A
85240,54726173,64682992,74619955,128.67,130.88,19000101,0,48,20001017,A
268906,223048765,760350588,801743527,78.54,75.13,19000101,0,20,20120909,B
271158,94840748,106308196,167120322,77.29,99.06,19000101,0,22,20141201,B
274028,4258756355,3582431461,1780093975,221.87,335.99,20160201,0,29,20110111,B
169483,2355438865,3332947632,395539162,112.36,157.8,19000101,0,22,20120911,B
656722,1617410695,1639200391,1473732443,141.85,150.65,19000101,0,41,20110728,C
659374,987444508,967958312,574569288,405.1,274.8,19000101,0,17,20141011,C
665559,2575516090,2578994986,2560780455,144,117.59,19000101,0,26,20140512,C
564215,189991100,222910658,51073703,191.11,170.14,20170501,0,24,20120409,D
574778,107577495,2622827,2845212,164,247.25,20150601,0,29,20060108,D
598161,1458749418,871624977,463555841,123.1,136.36,20161101,0,40,20120909,D
603636,25309354,69560182,103614922,118.5,122.38,20171101,0,33,20050101,D
646793,141314349,180621867,67506022,141.8,138.87,20151101,0,51,20121112,D
805027,401406101,500144457,457782273,60.57,73.03,19000101,0,44,20061030,G
802919,427945281,966607366,606010034,135.2,150.02,19000101,0,49,20101223,G
144212,167821537,315486593,363223792,91,105.16,19000101,0,31,20091212,H
526335,643394713,694085317,616220752,203.54,226.65,20150801,1,32,20081128,I
605256,0,0,0,182,205.6,20171101,0,41,20040525,J
612509,0,0,0,0,88.76,19000101,0,18,20131010,J
617563,0,0,0,39.2,107.34,19000101,0,22,20120909,J
690696,625037819,608167143,839537447,371.06,275.9,20160701,0,28,20120909,K
799748,745932344,485714678,1288837394,150.09,139.5,20151101,1,26,20090511,K
851446,256178591,5257057,5733746,426.76,378.22,19000101,0,28,20080907,K
855573,2005468,514753,26400,173.23,183.51,19000101,0,29,20090216,K
722461,402203409,402096143,763028002,188,188,20160201,0,26,20120701,K
762469,119671588,182466627,203178342,183.62,181.7,19000101,0,25,20111227,K
824365,561767262,1745835378,1121296914,120.31,132.09,19000101,0,27,20100108,K
801043,711005475,681859453,528926562,209.16,238.43,20150601,0,37,20091006,K
811019,228605133,531827347,541555953,344.89,252.48,19000101,0,33,20081120,K
102388,634257795,908763285,1088058723,151.91,132.46,19000101,0,19,20120608,L
155083,994359492,557874334,650769283,197.5,198.89,20180601,0,51,20060517,L
123633,721292057,571760009,307956465,108.16,111.26,19000101,0,25,20100903,L
244792,180093799,108213590,677305473,106.54,130.26,20170101,0,46,20090713,L
659394,0,0,0,20.6,145,19000101,0,46,20140128,Z
